"eventId","day","participantId","cohortId","action","originProject","destinationProject","requestedAmount","unit","executedAmount","sharesBurned","sharesMinted","gross","net","feesCCLX","currency","provenance","status","rejectionReason","capitalNew","capitalRecycled","cannibalizedCapital"
"e94","31","u00079","rebalancer","deposit","wallet","solar","177.95220687938266","CCLX","177.95220687938266","0","149.2078774208203","177.95220687938266","177.5963024656239","0.3559044137587653","CCLX","unrestricted","executed","","177.95220687938266","0",""
"e95","32","u00054","active_user","withdraw","mangrove","wallet","9.47189287659019","receipts","9.31193490462005","9.47189287659019","0","9.330596096813679","9.31193490462005","0.018661192193627357","CCLX","unrestricted","executed","","0","9.31193490462005",""
"e96","32","u00009","active_user","migration","solar","forest","17.533072432720626","receipts","20.827284873492083","17.533072432720626","18.645424656569958","20.869022919330746","20.785630303745098","0.08339261558564566","CCLX","unrestricted","executed","","0","20.827284873492083","20.827284873492083"
"e97","32","u00244","long_term","deposit","wallet","forest","615.2649810455455","CCLX","615.2649810455455","0","550.7931222999468","615.2649810455455","614.0344510834544","1.230529962091091","CCLX","unrestricted","executed","","615.2649810455455","0",""
"e98","32","u00142","active_user","deposit","wallet","forest","263.23825211080975","CCLX","263.23825211080975","0","235.64429411734454","263.23825211080975","262.71177560658816","0.5264765042216195","CCLX","unrestricted","executed","","263.23825211080975","0",""
"e99","32","u00260","long_term","deposit","wallet","forest","87.92557154644494","CCLX","87.92557154644494","0","78.70743920630775","87.92557154644494","87.74972040335206","0.17585114309288988","CCLX","unrestricted","executed","","87.92557154644494","0",""
"e100","33","u00080","long_term","deposit","wallet","mangrove","215.66283706343333","CCLX","215.66283706343333","0","218.48736744257621","215.66283706343333","215.23151138930646","0.4313256741268667","CCLX","unrestricted","executed","","215.66283706343333","0",""
"e101","33","u00163","rebalancer","migration","solar","mangrove","48.93275188721247","receipts","58.12638319688849","48.93275188721247","58.886419327696785","58.24286893475801","58.01013043049471","0.232738504263293","CCLX","unrestricted","executed","","0","58.12638319688849","58.12638319688849"
"e102","33","u00227","rebalancer","deposit","wallet","mangrove","107.54189582612807","CCLX","107.54189582612807","0","108.9466763290111","107.54189582612807","107.32681203447581","0.21508379165225613","CCLX","unrestricted","executed","","107.54189582612807","0",""
"e103","34","u00005","active_user","deposit","wallet","solar","44.4991398802136","CCLX","44.4991398802136","0","37.31119927065447","44.4991398802136","44.41014160045317","0.08899827976042719","CCLX","unrestricted","executed","","44.4991398802136","0",""
